date,source,category,company,grade,price,change,action,title,url,crawled_at
2026-03-09,스틸데일리,수입,동경제철(일본),생철,,,,日 도쿄스틸이 도쿄새틀라이트 신다찌 구매가격만 대폭 올린 이유는?,https://www.steeldaily.co.kr/news/articleView.html?idxno=198744,2026-04-14T13:44:04.920433
2026-03-06,스틸데일리,수입,동경제철(일본),생철,,,인상,"도쿄스틸, 도쿄 새틀라이트 신다찌 2,500엔 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=198700,2026-04-14T13:44:04.920433
2026-03-04,스틸데일리,국내,현대제철(인천),생철,,32000.0,인상,현대제철 밴더 스크랩 구매가격 급상승,https://www.steeldaily.co.kr/news/articleView.html?idxno=198644,2026-04-14T13:44:07.609799
2026-03-04,스틸데일리,국내,현대제철(당진),생철,,32000.0,인상,현대제철 밴더 스크랩 구매가격 급상승,https://www.steeldaily.co.kr/news/articleView.html?idxno=198644,2026-04-14T13:44:07.609799
2026-03-04,스틸데일리,국내,현대제철(포항),생철,,32000.0,인상,현대제철 밴더 스크랩 구매가격 급상승,https://www.steeldaily.co.kr/news/articleView.html?idxno=198644,2026-04-14T13:44:07.609799
2026-03-03,스틸데일리,수입,동경제철(일본),,,,인상,"도쿄스틸, 3일부터 스크랩 전등급 1천엔 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=198612,2026-04-14T13:44:04.920433
2026-02-26,스틸데일리,국내,태웅,생철,,-15000.0,인하,"태웅, 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=198475,2026-04-14T13:44:07.869274
2026-02-26,스틸데일리,국내,태웅,중량,,-10000.0,인하,"태웅, 철 스크랩 구매가격 인하",https://www.steeldaily.co.kr/news/articleView.html?idxno=198475,2026-04-14T13:44:07.869274
2026-02-20,스틸데일리,수입,동경제철(일본),,,,인상,"日 도쿄스틸, 전 공장 스크랩 구매가 1,000엔 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=198435,2026-04-14T13:44:04.920433
2026-02-20,스틸데일리,수입,동경제철(일본),,,,,"도쿄스틸, 철 스크랩 수출에 적극 대응",https://www.steeldaily.co.kr/news/articleView.html?idxno=198426,2026-04-14T13:44:04.920433
2026-02-19,스틸데일리,수입,동경제철(일본),,,,,"日 도쿄스틸, 철 스크랩 가격 강세 전망",https://www.steeldaily.co.kr/news/articleView.html?idxno=198399,2026-04-14T13:44:04.920433
